id,name,lat,long,dock_count,city,installation_date,lead_lat,lead_long,consecutiveStationDistance
57,"5th at Howard",37.781752000000004,-122.40512700000001,15,"San Francisco","2013-08-21 00:00:00",37.77865,-122.41823500000001,0.00018874962818629857
58,"San Francisco City Hall",37.77865,-122.41823500000001,19,"San Francisco","2013-08-21 00:00:00",37.781332,-122.418603,0.000047084186809028355
59,"Golden Gate at Polk",37.781332,-122.418603,23,"San Francisco","2013-08-21 00:00:00",37.80477,-122.40323400000001,0.0004607278187982698
60,"Embarcadero at Sansome",37.80477,-122.40323400000001,15,"San Francisco","2013-08-21 00:00:00",37.780526,-122.39028799999998,0.0004592676969920449
61,"2nd at Townsend",37.780526,-122.39028799999998,27,"San Francisco","2013-08-22 00:00:00",37.785299,-122.39623600000002,0.00011692437674641543
62,"2nd at Folsom",37.785299,-122.39623600000002,19,"San Francisco","2013-08-22 00:00:00",37.786978000000005,-122.39810800000001,0.000039057202764351915
63,"Howard at 2nd",37.786978000000005,-122.39810800000001,19,"San Francisco","2013-08-22 00:00:00",37.782259,-122.392738,0.00011077085253837855
64,"2nd at South Park",37.782259,-122.392738,15,"San Francisco","2013-08-22 00:00:00",37.771058000000004,-122.402717,0.00023910006492011742
65,"Townsend at 7th",37.771058000000004,-122.402717,15,"San Francisco","2013-08-22 00:00:00",37.774814,-122.418954,0.00023339858600583053
66,"South Van Ness at Market",37.774814,-122.418954,19,"San Francisco","2013-08-23 00:00:00",37.776619000000004,-122.41738500000001,0.00003822240505573564
67,"Market at 10th",37.776619000000004,-122.41738500000001,27,"San Francisco","2013-08-23 00:00:00",37.784878000000006,-122.40101399999999,0.00026791159853409573
68,"Yerba Buena Center of the Arts (3rd @ Howard)",37.784878000000006,-122.40101399999999,19,"San Francisco","2013-08-23 00:00:00",37.7766,-122.39546999999999,0.00016347048314585975
69,"San Francisco Caltrain 2 (330 Townsend)",37.7766,-122.39546999999999,23,"San Francisco","2013-08-23 00:00:00",37.776617,-122.39526000000001,0.0000029121764439183006
70,"San Francisco Caltrain (Townsend at 4th)",37.776617,-122.39526000000001,19,"San Francisco","2013-08-23 00:00:00",37.788446,-122.408499,0.00027563309811697733
71,"Powell at Post (Union Square)",37.788446,-122.408499,19,"San Francisco","2013-08-23 00:00:00",37.781039,-122.411748,0.00013682419215350425
72,"Civic Center BART (7th at Market)",37.781039,-122.411748,23,"San Francisco","2013-08-23 00:00:00",37.798522,-122.40724499999999,0.0003113926824984385
73,"Grant Avenue at Columbus Avenue",37.798522,-122.40724499999999,15,"San Francisco","2013-08-21 00:00:00",37.794139,-122.394434,0.0001925323920391648
74,"Steuart at Market",37.794139,-122.394434,23,"San Francisco","2013-08-25 00:00:00",37.7913,-122.399051,0.00008068540547777529
75,"Mechanics Plaza (Market at Battery)",37.7913,-122.399051,19,"San Francisco","2013-08-25 00:00:00",37.786305,-122.40496599999999,0.00011939984145615764
76,"Market at 4th",37.786305,-122.40496599999999,19,"San Francisco","2013-08-25 00:00:00",37.789625,-122.400811,0.00008149887668039307
77,"Market at Sansome",37.789625,-122.400811,27,"San Francisco","2013-08-25 00:00:00",37.352601,-121.90573300000001,0.010250942630241814
80,"Santa Clara County Civic Center",37.352601,-121.90573300000001,15,"San Jose","2013-12-31 00:00:00",37.798541,-122.40086200000002,0.010367446600681373
82,"Broadway St at Battery St",37.798541,-122.40086200000002,15,"San Francisco","2014-01-22 00:00:00",37.491269,-122.23623400000001,0.005825536918419706
83,"Mezes Park",37.491269,-122.23623400000001,15,"Redwood City","2014-02-20 00:00:00",37.342725,-121.89561699999999,0.005386581139155178
84,"Ryland Park",37.342725,-121.89561699999999,15,"San Jose","2014-04-09 00:00:00",NULL,NULL,NULL
